Date,Description,Unit,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Day32,Day33,Day34,Day35
April-24,Raw water totalizer readings,Forebay make up through RWP,6774503,6778804,6782986,6786944,6791170,6795400,6798036,6801027,6803108,6805380,6807492,6809736,6811968,6813987,6816352,6820786,6825232,6829742,6834150,6838741,6842508,6845224,6847720,6850328,6852486,6854690,6856800,6859006,6861508,6863894,6868039,,,6628907,6460440
April-24,Raw water totalizer readings,TPC fire water cons,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,1581310,,,1581310,1581310
April-24,Raw water totalizer readings,TSL fire water cons,1484838,1485054,1485311,1485526,1485708,1485991,1486064,1486337,1486490,1486673,1486822,1486926,1487637,1487737,1487801,1487809,1487809,1487809,1487809,1487809,1487900,1488344,1488603,1488815,1488944,1489089,1490184,1492239,1492533,1492830,1493235,,,1468185,1317347
April-24,Raw water totalizer readings,DM plant make up,2144268,2144828,2145563,2145844,2145904,2146024,2146630,2146715,2146808,2147069,2147648,2147951,2148767,2149246,2149799,2150477,2151850,2152376,2153003,2153938,2154789,2155600,2156155,2156892,2157450,2159010,2160442,2161171,2161324,2161880,2162199,,,2134096,2109178
April-24,Raw water totalizer readings,CW blow down,3787065,3790400,3793793,3797038,3800397,3803686,3806928,3810324,3813586,3816813,3820060,3823365,3826829,3830222,3833430,3836696,3840124,3843559,3846930,3850426,3853771,3857220,3859956,3862385,3864523,3866534,3868613,3871631,3874961,3878117,3881504,,,3659882,3590006
April-24,Raw water totalizer readings,Service Water Cons,77643,77658,77702,77724,77764,77788,77803,77819,77847,77876,77906,77922,77992,78045,78061,78117,78168,78212,78251,78303,78348,78364,78448,78497,78519,78538,78577,78593,78650,78752,78855,,,76576,73571
April-24,"Raw water consumption
(M3/day)",Raw water intake at reservior (old meter),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
April-24,"Raw water consumption
(M3/day)",Raw water intake at reservior (new meter),9704,8860,9486,9246,9074,9148,7386,7698,4994,5890,5326,6688,7656,6030,5362,9778,9498,9274,9260,9746,8798,6364,6622,7906,7826,4908,7394,7418,7782,7286,8844,,,5307,2298
April-24,"Raw water consumption
(M3/day)",Raw water inlet flow (HDA billing meter),11073,8497,11090,10664,10599,9690,11106,10459,10625,10437,10066,11399,11818,10452,10017,10575,10865,10611,10769,10590,12160,11429,10249,10994,11792,9274,10822,11248,11758,11943,10883,,,8337,3923
April-24,"Raw water consumption
(M3/day)",TPC Cons-1 (RWP flow) - old meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
April-24,"Raw water consumption
(M3/day)",TPC Cons-1 (RWP flow) - new meter,8009,8163,8356,7821,8333,8326,5523,5897,4132,4444,4578,4800,5069,4269,4682,8405,8531,8550,8672,9040,7499,5615,5240,5498,4603,4619,4822,6297,5865,4954,8430,,,3723,4776
April-24,"Raw water consumption
(M3/day)",TPC Cons-2 (Direct forebay make up),3915,3589,4422,4038,3172,3266,6360,4772,7674,6892,6880,7054,6858,7078,6110,4046,4052,3668,4396,3698,5316,6540,7186,6456,7272,6076,6522,7620,7338,7716,4782,,,700,2556
April-24,"Raw water consumption
(M3/day)",Gap between billing meter - (TPC cons + TSL cons),2546,3952,2818,2620,1647,2724,2640,2011,2043,2345,2140,2343,2696,2656,1455,3249,2685,2331,2887,2854,1954,1475,3559,3368,3306,1710,3094,3790,3362,3059,2743,,,,
April-24,"Raw water consumption
(M3/day)",TSL Cons - new meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
April-24,"Raw water consumption
(M3/day)",TSL Cons - DCS meter,692,618,490,528,616,613,663,500,691,738,641,735,809,576,520,568,482,650,722,544,491,297,417,605,605,659,1208,1386,958,1308,694,,,278,440
April-24,"Raw water consumption
(M3/day)",Forebay make up through RWP,4169,4301,4182,3958,4226,4230,2636,2991,2081,2272,2112,2244,2232,2019,2365,4434,4446,4510,4408,4591,3767,2716,2496,2608,2158,2204,2110,2206,2502,2386,4145,,,1618,2318
April-24,"Raw water consumption
(M3/day)",TPC fire water cons (EM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
April-24,"Raw water consumption
(M3/day)",TSL fire water cons (EM),48,216,257,215,182,283,73,273,153,183,149,104,711,100,64,8,0,0,0,0,91,444,259,212,129,145,1095,2055,294,297,405,,,286,334
April-24,"Raw water consumption
(M3/day)",DM plant make up,60,560,735,281,60,120,606,85,93,261,579,303,816,479,553,678,1373,526,627,935,851,811,555,737,558,1560,1432,729,153,556,319,,,602,15
April-24,"Raw water consumption
(M3/day)",CW blow down,3431,3335,3393,3245,3359,3289,3242,3396,3262,3227,3247,3305,3464,3393,3208,3266,3428,3435,3371,3496,3345,3449,2736,2429,2138,2011,2079,3018,3330,3156,3387,,,845,388
April-24,"Raw water consumption
(M3/day)",Service Water Cons,16,15,44,22,40,24,15,16,28,29,30,16,70,53,16,56,51,44,39,52,45,16,84,49,22,19,39,16,57,102,103,,,37,16
April-24,Raw water analysis,Total TPC raw water cons,11876,11536,12521,11644,11323,11309,11810,10396,11653,11153,11309,11750,11216,11247,10728,12443,12583,12218,13068,12738,12724,11711,12167,11742,11746,10550,10249,11862,12909,12373,12807,,11785.838709677419,4137,6998
April-24,Raw water analysis,Total TPC raw water cons (MTD),483560,495096,507617,519261,530584,541893,553703,564099,575752,586905,598214,609964,621180,632427,643155,655598,668181,680399,693467,706205,718929,730640,742807,754549,766295,776845,787094,798956,811865,824238,837045,,,168378,241747
April-24,Raw water analysis,Total TPC raw water cons %,0.9167041873030166,0.9101680310211115,0.9259369422962522,0.9176274944567627,0.903343023255814,0.8947368421052632,0.9288063455213774,0.9103352279317944,0.9210624766180322,0.9109800889232553,0.9237525335392337,0.9196360153256705,0.8669700682653597,0.9340616465079984,0.9392426133999168,0.9408259708239162,0.9534434463440549,0.9305110113320505,0.9288880133950557,0.9443079443079443,0.9446557626473945,0.9314396743153219,0.9380555301017135,0.9230551893011867,0.931542622645029,0.9244644870349493,0.813778604350287,0.7541440411546156,0.8886616273899511,0.869118486504118,0.8937651039149348,,,0.8971553610503282,0.8633233268585555
April-24,Raw water analysis,Total TPC raw water cons % (MTD),2.0441513530901925,0.33836303576526244,0.4385908537410364,0.5019956565122967,0.5453641170619339,0.5803853219652362,0.6181997606399732,0.6424452466907341,0.6684472841219549,0.6885352205134774,0.7065511480402739,0.7218180819962392,0.7323724067710322,0.7447249569871918,0.7552880160900318,0.7649594619199092,0.7748603436991035,0.7819128581462375,0.7888022973434657,0.7955125769771079,0.802133551726176,0.8077758488433122,0.8132736279161494,0.8176033816084184,0.8219673290634165,0.8257217287765798,0.8252341939700416,0.8220949676605143,0.8243757522204787,0.8259873464568317,0.8279860776561204,,,0.7381286228148556,0.8605432814197754
April-24,Raw water analysis,Total TSL raw water cons,740,834,747,743,798,896,736,773,844,921,790,839,1520,676,584,576,482,650,722,544,582,741,676,817,734,804,2303,3441,1252,1605,1099,,950.6129032258065,564,774
April-24,Raw water analysis,Total TSL raw water cons (MTD),31614,32448,33195,33938,34736,35632,36368,37141,37985,38906,39696,40535,42055,42731,43315,43891,44373,45023,45745,46289,46871,47612,48288,49105,49839,50643,52946,56387,57639,59244,60343,,44017.1935483871,114299,28878
April-24,Raw water analysis,Total TSL raw water cons %,0.08329581269698334,0.08983196897888841,0.07406305770374777,0.08237250554323725,0.09665697674418605,0.10526315789473684,0.07119365447862255,0.08966477206820554,0.07893752338196783,0.08901991107674463,0.07624746646076634,0.08036398467432951,0.13302993173464028,0.06593835349200156,0.06075738660008323,0.05917402917608383,0.04655655365594514,0.06948898866794954,0.07111198660494435,0.055692055692055695,0.05534423735260555,0.06856032568467801,0.06194446989828645,0.07694481069881333,0.0684573773549711,0.07553551296505073,0.18622139564971293,0.2458559588453844,0.1113383726100489,0.13088151349588192,0.10623489608506526,,0.0892251273537619,0.10284463894967177,0.13667667314144447
April-24,Raw water analysis,Total TSL raw water cons % (MTD),0.11556556355301781,0.6616369642347376,0.5614091462589637,0.4980043434877032,0.45463588293806606,0.41961467803476377,0.3818002393600269,0.35755475330926595,0.33155271587804513,0.3114647794865226,0.2934488519597262,0.2781819180037608,0.2676275932289678,0.25527504301280823,0.24471198390996812,0.23504053808009082,0.22513965630089655,0.2180871418537625,0.21119770265653423,0.20448742302289213,0.1978664482738241,0.19222415115668778,0.18672637208385054,0.18239661839158164,0.1780326709365835,0.17427827122342018,0.17476580602995834,0.17790503233948574,0.17562424777952132,0.17401265354316833,0.1720139223438796,,0.2745897778281445,0.26187137718514447,0.13945671858022457
April-24,Raw water analysis,Total raw water cons per day (TPC+TSL),8884,9284,10086,9020,8256,8512,10338,8621,10692,10346,10361,10440,11426,10252,9612,9734,10353,9354,10153,9768,10516,10808,10913,10618,10722,10644,12367,13996,11245,12263,10345,,10320.290322580646,5484,5663
April-24,Raw water analysis,Total raw water cons per day (TPC+TSL) - MTD,273559,49042,59128,68148,76404,84916,95254,103875,114567,124913,135274,145714,157140,167392,177004,186738,197091,206445,216598,226366,236882,247690,258603,269221,279943,290587,302954,316950,328195,340458,350803,,,436470,207075
April-24,Raw water analysis,Gap between billing meter - (total intake at reservoir + forebay),-2546,-3952,-2818,-2620,-1647,-2724,-2640,-2011,-2043,-2345,-2140,-2343,-2696,-2656,-1455,-3249,-2685,-2331,-2887,-2854,-1954,-1475,-3559,-3368,-3306,-1710,-3094,-3790,-3362,-3059,-2743,,-2647.1612903225805,2330,-931
April-24,Raw water analysis,Gap between billing meter - (TPC cons + TSL cons),2189,-787,1004,1644,2343,1178,768,1838,-67,91,-295,959,392,200,405,841,512,1257,616,822,1644,621,-664,376,1070,-1370,-1545,-2748,513,-320,538,,452.4193548387097,2853,-1740
April-24,Raw water analysis,TPC make up (DM plant + RW to Forebay +Direct Forbay + TPC Fire water),8144,8450,9339,8277,7458,7616,9602,7848,9848,9425,9571,9601,9906,9576,9028,9158,9871,8704,9431,9224,9934,10067,10237,9801,9988,9840,10064,10555,9993,10658,9246,,9369.677419354839,4920,4889
April-24,Raw water analysis,TPC make up MTD,8144,16594,25933,34210,41668,49284,58886,66734,76582,86007,95578,105179,115085,124661,133689,142847,152718,161422,170853,180077,190011,200078,210315,220116,230104,239944,250008,260563,270556,281214,290460,,,322171,178197
April-24,Raw water analysis,Gap between TPC cons - Total make up,3732,3086,3182,3367,3865,3693,2208,2548,1805,1728,1738,2149,1310,1671,1700,3285,2712,3514,3637,3514,2790,1644,1930,1941,1758,710,185,1307,2916,1715,3561,,2416.1612903225805,-783,2109
April-24,Raw water analysis,CT evaporation loss,4653,4555,5211,4751,4039,4207,5754,4367,6493,5937,5745,5993,5626,5704,5267,5214,5070,4743,5433,4793,5738,5807,6946,6635,7292,6269,6553,6808,6510,6946,5540,,5632.225806451613,1473,4486
April-24,Raw water analysis,Reservoir level down,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,1.0 ft,,2.5 ft,1.0 ft,1.0 ft
April-24,Raw water analysis,Specific Raw water consumption,4.247496423462089,4.258397932816537,4.55972323379461,4.322197475872309,4.27605740181269,4.10639070442992,4.332355099046222,3.808058608058608,4.251368113827071,4.0734112490869245,4.150091743119266,4.300878477306003,4.461416070007955,4.583129584352079,4.2336227308603,4.92987321711569,4.877131782945736,4.666921313980137,4.999234889058913,5.070859872611465,5.36424957841484,5.069696969696969,5.004936240230358,4.516153846153846,4.440831758034027,3.9030706622271545,3.8646304675716445,4.525753529187334,4.913970308336506,4.669056603773585,4.849299507762211,,,3.8618847768027478,
Aug-24,"BTG steam flow & DM make up
(Totalizer)",TG-1 (Steam Totalizer),19301710,19305214,19308504,19311892,19315302,19318676,19322038,19325438,19328898,19332172,19335652,19339232,19343024,19346382,19347582,19351394,19355284,19359226,19363084,19366914,19370770,19374600,19378436,19382182,19385724,19389702,19393654,19397492,19401326,19405286,19409156,,149.23055555555555,18588246,
